dataset,filename,resize_percent,PSNR,SSIM,BRISQUE,NIQE
dataset1,1.png,25,27.7731399150098,0.21711561625333434,,143.5346107801896
dataset1,1.png,50,27.79833173933719,0.23427692404614592,,143.56303838543096
dataset1,1.png,75,27.795689213008437,0.24035041815123862,,143.7395754420105
dataset1,1.png,100,27.789972533257817,0.24339526026144834,,143.56711585615898
dataset1,111.png,25,27.962106552066736,0.16041820638181578,,161.42929292622418
dataset1,111.png,50,27.966699568702154,0.18048913241719228,,161.4462606528595
dataset1,111.png,75,27.963901796333968,0.18858878307025517,,161.62556827000054
dataset1,111.png,100,27.977365995185117,0.19314972168108616,,161.44425601585976
dataset1,146.png,25,28.442363249290285,0.2433065516733441,,154.53377798131305
dataset1,146.png,50,28.437974029454082,0.2548588364402542,,154.5164850397799
dataset1,146.png,75,28.48700648412509,0.2579816581759425,,154.6699665494368
dataset1,146.png,100,28.5394620700154,0.25865459370410665,,154.39858949005327
dataset1,179.png,25,27.80688520188297,0.4239294359471907,,164.53114203758915
dataset1,179.png,50,27.813403434215203,0.43803600965465916,,164.53449490743702
dataset1,179.png,75,27.81438988707338,0.43747818484270395,,164.62124128690863
dataset1,179.png,100,27.797829467062563,0.4316175616292794,,164.21698522340387
dataset1,22.png,25,27.626254141885628,0.15640760436903775,,159.18757991548566
dataset1,22.png,50,27.639430865630708,0.1773518302498759,,159.18250639503353
dataset1,22.png,75,27.643380630296377,0.18493028014075721,,159.35093309834957
dataset1,22.png,100,27.65576964765298,0.18846764029763302,,159.17790947544063
dataset1,23.png,25,27.87842330961284,0.0622429190142887,,174.4006005072078
dataset1,23.png,50,27.91550102167384,0.07442941997357827,,174.40639257397314
dataset1,23.png,75,27.90750679884475,0.07832214058593734,,174.58132651027023
dataset1,23.png,100,27.914456444060207,0.08109399964028546,,174.41931432819155
dataset1,493.png,25,28.554607309328873,0.097245363402725,,178.70751296970826
dataset1,493.png,50,28.550823420339363,0.12331356235003914,,178.76110126411228
dataset1,493.png,75,28.575636711074658,0.13168219153117106,,178.9396747284434
dataset1,493.png,100,28.69002039455577,0.13565325483934834,,178.82325164261107
dataset1,547.png,25,27.724984131208345,0.18347226579219264,,167.88845416326745
dataset1,547.png,50,27.71172267935787,0.21059184188507227,,167.89908054192023
dataset1,547.png,75,27.713677122344116,0.2177374580005597,,168.07349391287147
dataset1,547.png,100,27.718457503777362,0.21884928907377332,,167.84904064657698
dataset1,55.png,25,27.693876294912585,0.062409226215221825,,173.6170309679141
dataset1,55.png,50,27.686033625663136,0.07552268910713622,,173.63051207651387
dataset1,55.png,75,27.683887681542338,0.07975414165353774,,173.8101129984289
dataset1,55.png,100,27.687282440721535,0.08322902059999372,,173.65272071672757
dataset1,665.png,25,28.167450107029207,0.08477970172580143,,177.9772502945525
dataset1,665.png,50,28.158830566045413,0.0970117757499471,,177.96433413011053
dataset1,665.png,75,28.166678042596555,0.09716949453082338,,178.12973636610704
dataset1,665.png,100,28.1615324193372,0.09462716899758578,,177.91126557100438
dataset1,669.png,25,28.17147647315833,0.16922826353770137,,165.78871977900974
dataset1,669.png,50,28.181748916726814,0.18843739410489063,,165.81468424942088
dataset1,669.png,75,28.174582185889726,0.19498573680507736,,165.96616743808448
dataset1,669.png,100,28.169334293273785,0.19680567114238448,,165.75615959104096
dataset1,748.png,25,27.63412077330098,0.17486370230897638,,170.11774085476398
dataset1,748.png,50,27.629243623549655,0.1897825764046491,,169.8827044449188
dataset1,748.png,75,27.629635822169295,0.1952997484401751,,169.90771757426333
dataset1,748.png,100,27.62669382890334,0.1982651239869555,,169.2022314128517
dataset1,778.png,25,27.836517580074897,0.06709562014800058,,176.50828456476358
dataset1,778.png,50,27.826563125240845,0.0779652832014508,,176.60942682173595
dataset1,778.png,75,27.838972859289015,0.0799272221740948,,176.67241941411174
dataset1,778.png,100,27.848285079479428,0.08048829877975534,,176.17080263264526
dataset1,780.png,25,28.01878446273783,0.22573188627625396,,167.32941924335154
dataset1,780.png,50,28.02493419861166,0.2370238814877596,,167.3772063150672
dataset1,780.png,75,28.021237101232114,0.23562441296546024,,167.42781598732464
dataset1,780.png,100,28.00413836427139,0.23559586474984084,,167.03352459658154
dataset1,79.png,25,27.867749484864767,0.1656297131489682,,159.08066430823487
dataset1,79.png,50,27.84450645916181,0.1939996325023802,,159.0761986683184
dataset1,79.png,75,27.83082561162372,0.20402836763356957,,159.24455974745464
dataset1,79.png,100,27.80690692353168,0.20673045693672312,,159.0096547186718
dataset2,uieb_10945.png,25,27.724655689890916,0.685342827700317,,69.98981924152315
dataset2,uieb_10945.png,50,27.73324639088724,0.7298708569140052,,70.00794286965427
dataset2,uieb_10945.png,75,27.73105822326258,0.7595856118195291,,70.05093079819777
dataset2,uieb_10945.png,100,27.73063496324092,0.7759785321046981,,70.01138232066103
dataset2,uieb_112_img_.png,25,28.477614950178612,0.6848513112313727,,54.50352510640465
dataset2,uieb_112_img_.png,50,28.476945148899297,0.7258302161121701,,54.77610200276524
dataset2,uieb_112_img_.png,75,28.472198842788828,0.7442648578966726,,54.512690954261146
dataset2,uieb_112_img_.png,100,28.463049392358897,0.7434759695077336,,54.578202137653946
dataset2,uieb_117_img_.png,25,27.923624494902406,0.7571587798316072,,41.46987183003066
dataset2,uieb_117_img_.png,50,27.917165496900957,0.745964819109964,,41.591611821018006
dataset2,uieb_117_img_.png,75,27.93429932565346,0.7434489481200883,,41.63087775662861
dataset2,uieb_117_img_.png,100,27.990356884267605,0.7407281231537315,,41.04256967564555
dataset2,uieb_120_img_.png,25,27.855243593446243,0.5517911046468356,,43.073065643872724
dataset2,uieb_120_img_.png,50,27.845717328535354,0.5675789257114399,,43.08126535920802
dataset2,uieb_120_img_.png,75,27.832900295930614,0.580496164899585,,42.81499210007415
dataset2,uieb_120_img_.png,100,27.832871280549654,0.5836405083790585,,42.68535376685503
dataset2,uieb_12324.png,25,27.648811181771585,0.45221683593077705,,105.13072713675751
dataset2,uieb_12324.png,50,27.639574604879908,0.46322059934487847,,105.1345617820724
dataset2,uieb_12324.png,75,27.607430867801057,0.4699304405967953,,105.25077734011437
dataset2,uieb_12324.png,100,27.459797791099017,0.4738580630401067,,105.03056652646626
dataset2,uieb_140_img_.png,25,28.361412772074644,0.7076743507483765,,68.08339583610342
dataset2,uieb_140_img_.png,50,28.351780898913482,0.7310640064452689,,68.09536143856218
dataset2,uieb_140_img_.png,75,28.346843807015134,0.7446654804579582,,68.07143315164308
dataset2,uieb_140_img_.png,100,28.327381651769826,0.7450715435798775,,67.82799734913444
dataset2,uieb_151_img_.png,25,28.513418857149063,0.8153684739670926,,57.3888568009921
dataset2,uieb_151_img_.png,50,28.506557338553925,0.8360626286291224,,57.41017108192922
dataset2,uieb_151_img_.png,75,28.504804969952936,0.8464980384146741,,57.524801583648006
dataset2,uieb_151_img_.png,100,28.500180646232216,0.8471992550220674,,57.192076999503506
dataset2,uieb_152_img_.png,25,27.76480115935516,0.8587500635979948,,40.91904772999339
dataset2,uieb_152_img_.png,50,27.749847543466622,0.8715320977198857,,40.91334445064171
dataset2,uieb_152_img_.png,75,27.746051066851997,0.8763390786865458,,40.84149686450686
dataset2,uieb_152_img_.png,100,27.747373082110958,0.8758426027695865,,40.42802176546176
dataset2,uieb_177_img_.png,25,28.630162814872612,0.9417891538444174,,54.17338712799301
dataset2,uieb_177_img_.png,50,28.642083920260923,0.9360243162380995,,54.20748982161204
dataset2,uieb_177_img_.png,75,28.636099008647754,0.9323036902631381,,54.19255154336381
dataset2,uieb_177_img_.png,100,28.64653012691179,0.9259465645499263,,53.506932373126546
dataset2,uieb_18_img_.png,25,27.833840090873355,0.4883022271782918,,54.295322786242885
dataset2,uieb_18_img_.png,50,27.823498337064013,0.49404733713367316,,54.256214610571114
dataset2,uieb_18_img_.png,75,27.82814972438762,0.5029026547337963,,54.264778784992345
dataset2,uieb_18_img_.png,100,27.748458136636373,0.49509129068065666,,53.93099932727175
dataset2,uieb_191_img_.png,25,27.63432981883645,0.8111319786119376,,29.320901759815754
dataset2,uieb_191_img_.png,50,27.62230106651835,0.8194179185957619,,29.298929860490816
dataset2,uieb_191_img_.png,75,27.625693655159136,0.8220584916118759,,29.393123425062107
dataset2,uieb_191_img_.png,100,27.630319331419003,0.8223216206029446,,29.037568019527818
dataset2,uieb_192_img_.png,25,27.982675149186825,0.8437852760650668,,46.44003060908575
dataset2,uieb_192_img_.png,50,27.96756907763358,0.8301222969825088,,46.550937645516875
dataset2,uieb_192_img_.png,75,27.991408248403175,0.8251256477224566,,46.46156007215159
dataset2,uieb_192_img_.png,100,28.048891450491116,0.8208415404384034,,45.54584856665068
dataset2,uieb_206_img_.png,25,28.40909596104592,0.8218382498906086,,33.090189306660086
dataset2,uieb_206_img_.png,50,28.42461885279349,0.821471102171071,,33.132301732556
dataset2,uieb_206_img_.png,75,28.409137495029157,0.8223856685409763,,33.14935283951486
dataset2,uieb_206_img_.png,100,28.39404245279661,0.8192851055654742,,32.510963961351166
dataset2,uieb_236_img_.png,25,27.991747464857745,0.5521954159294593,,45.44635988130459
dataset2,uieb_236_img_.png,50,27.975404073192315,0.556002513335408,,45.43603836542142
dataset2,uieb_236_img_.png,75,27.96715140869956,0.561870812419627,,45.0423337006784
dataset2,uieb_236_img_.png,100,27.937829672641676,0.5603627148159176,,44.6143515047239
dataset2,uieb_265_img_.png,25,27.88092636640829,0.5315024231663251,,40.39370573304394
dataset2,uieb_265_img_.png,50,27.875878714486827,0.5619162344551827,,40.416463439102074
dataset2,uieb_265_img_.png,75,27.873172170412687,0.581578339862661,,40.553589933760826
dataset2,uieb_265_img_.png,100,27.85618205555512,0.5862863699383519,,40.2766958377416
